,labels,sentences
3398,fear,Mugged while on holiday in the U.S.A.
3399,anger,"I am one of four directors of a company. We inherited land held  
by our family - ours is the 5th generation. A ""democratic""  
decision was made to stap-bank an area of mangroves."
3400,sadness,"Social situation - at the pub - a close friend of 2 years told  
the group around us of advances I had made."
3401,disgust,"A drunk walked out in front of a car at night. Both lower legs  
were broken. His shoe was thrown about 50 yards after the  
accident."
3402,shame,"My father died 4 years ago, 18 months after my mother died. I  
feld my sister was responsible for his death, in that she ""hadn't  
loved him"". I felt ashamed for myself, and for my family."
3403,guilt,"My grandmother wanted me to help her. I was driving a tractor  
pulling a dead branch off a tree. I told her she didn't respect  
me."
3404,joy,Hearing my girlfriend accept my offer of marriage.
3405,fear,Canoeing across harbour in winds - 20 knots and rising seas.
3406,anger,"Brother continually interupting while I was talking on the  
telephone."
3407,sadness,Hearing of the death of a friend who had been skiing.
3408,disgust,"Flicking through a magazine showing pictures of homosexual men  
committing various acts."
3409,shame,"Being caught by parents in a compromising situation with  
girlfriend."
3410,guilt,"Describing to mother how a hole in the wall had appeared while I  
was babysitting."
3411,joy,When I found out I had passed all of my university exams.
3412,fear,"Almost crashing into the back of a car while driving along the  
motorway on my motorcycle."
3413,anger,When my girlfriend of two years told me it was all over.
3414,sadness,"A person I really like left for overseas for a few months, I had  
hoped to go out with her soon."
3415,disgust,"I deliberately avoided a person who I wanted to hurt, and who  
wanted to talk to me."
3416,shame,"I passed on some gossip that was untrue and cause two friends to  
have a fight who were already experiencing difficulties with each  
other."
3417,guilt,"Missing lectures and avoiding university work for no reason when  
it had to be done."
3418,joy,"When I received my U.E. accredited as I was totally unexpecting  
it and I was so happy."
3419,fear,"I went to see a movie and I went with a friend, it was really  
frightening and it made me stop and think about the world around  
me and what it is really like out there. I was frightened all  
that night."
3420,anger,"When my flatmate put me down because she ""thought"" she was better  
than me, or she felt she was."
3421,sadness,"When a very close friend of mine went into hospital for a major  
operation and I couldn't see her for a while as I was not a  
relative she had no relatives in N.Z."
3422,disgust,"One of my very good friends came to me for advice as her  
boyfriend had been hitting her and beating her quite harmfully."
3423,shame,"When I let my girlfriend use my essay to help her to write hers  
and the tutor found them alike."
3424,guilt,"When I had to lie to my boyfriend so that he wouldn't suspect I'd  
bought him a xmas present as expensive as I had."
3425,joy,"I received an assignment back, and got an A+ grading."
3426,fear,"I was walking home one night (after getting a bus to my town)  
when I was confronted by a group of males (about 6), they would  
not let me pass - they made comments etc. - I crossed the road  
and hurried home."
3427,anger,"I lent a text-book to a person I did not know very well, they  
lost the text-book and gave me no compensation."
3428,sadness,"At the beginning of the year I moved to a new city - I felt sad  
as I had to leave many friends and family members behind."
3429,disgust,"I read a newspaper article about dogs being stolen in order to  
use them for fighting purposes."
3430,shame,"I was amongst a group of people talking about how the Maori  
people were stirrers and causing trouble in our country. I felt  
shame to be a pakeha when other pakehas had such narrow  
conservative views."
3431,guilt,"I took my father's car to church one Sunday (I told them that's  
where I was going ) I decided instead to go for a drive to the  
beach - on the way I got a puncture."
3432,joy,"Getting University Entrance accredited and arriving home from  
boarding school on accrediting leave."
3433,fear,"Thinking that I had been seen smoking at school by a teacher -  
waiting to be summoned to the headmaster's office."
3434,anger,"When my mother rejected my boyfriend and made unfair judgements  
on him."
3435,sadness,"At my grandfather's funeral - My grandparents virtually raised me  
as my mother was a solo-parent and had to work."
3436,disgust,Watching a TV documentary on seal clubbing.
3437,shame,"I ate very fattening food in front of my boyfriend who would like  
me to lose weight. I am supposedly pursuing a modelling career  
but first I must lose weight. I had been trying to diet."
3438,guilt,"I let my pet budgie loose to fly around my room one afternoon. A  
few hours afterwards I found he was still free, went in and out  
of my room leaving the door open. My cat got in and killed my  
budgie - this happened to 3 budgies."
3439,joy,The birth of my first child.
3440,fear,"A large german shepherd dog ran and barked at me (he didn't bite  
fortunately)."
3441,anger,"Most recently when the chairman at the New Zeeland Rugby Union  
announced that the All Blacks' would accept the invitation of  
South Africa to play rugby in that country."
3442,sadness,"When I was told a friend's baby had been born with only partial  
sight. This was her first child and she was not young (the mother  
that is)."
3443,disgust,"When I first saw the state of a cafeteria in the grounds of the  
university. Due to students own lack of concern for the  
environment in which they eat and drink. Rubbish and spilled tea  
and coffee left everywhere."
3444,shame,"When I as a Pakeha (white) new Zealander, was just as racially  
prejudiced as other people whom I had condemned."
3445,guilt,"When my husband discovered I was having an affair with another  
man."
3446,joy,"I was biking with my boyfriend, the sun shining after a long  
period of bad beather, afterwards we spent the evening and night  
together."
3447,fear,"I was hitchhiking and was picked up by a stranger he drove into  
the woods and wanted to make love with me, I refused and escaped  
from the car. When walking in the wood and hearing the car I was  
afraid."
3448,anger,"In a discussion the leader wanted to stop because she was of the  
opinion that we were not involved and she misjudged our reactions  
as negative. We however only posed several questions which she  
couldn't answer."
3449,sadness,"When my grandmother died. She stayed with us until I had the age  
of 10. When she died I was 13 and I remember the moment after the  
funeral: I sat on the table and cried."
3450,disgust,When I heard about the disaster in Bophal (India).
3451,shame,"Once in a public ladies room, I opened the door of a cubicle that  
was taken, although it was not locked."
3452,guilt,"In a playground I was playing at the seesaw with a little niece.  
I wanted to stop but nobody came to help me. When I got off, all  
alone the seesaw fell down with a big smash. My niece got hurt  
above her eye. Now there is a scar."
3453,joy,When passing the final examinations for social worker.
3454,fear,"Sleeping alone in a tent, while hearing several noises such as  
rustling etc, I am afraid that there are people who are up to no  
good."
3455,anger,"A man kept a seat taken by putting his coat on it after a while  
the chair was still empty, I asked him if I could use the chair,  
he didn't agree for the chair was for his coat."
3456,sadness,When the relationship with my girlfriend broke up.
3457,disgust,"A piece of work was marked as bad by the teachers I and some  
fellow students didn't agree with their vague criticism. I felt  
myself taken in by the teachers and felt disgust."
3458,shame,"Some weeks ago I experienced a day that everything went wrong I  
broke several things I felt very ashamed for I am not a sloven."
3459,guilt,"I had made an appointment with a girl to go to the movies, but  
actually I had no mind when we arrived at the cinema, it was a  
full house. I then went back and she went to the movie alone."
3460,joy,"A friend came to tell me that her father invited me to go on  
holiday with them in Benidorm otherwise I could not afford to go  
on holiday."
3461,fear,"At the age of 12 years I always had to take care of my little  
brother and sister I never could sleep then. I always imagined  
creepy men sneaking into our house."
3462,anger,"The landlord had selected a new lodger on her own, while we used  
to do that it was not what she had done, but how she did it that  
made me angry."
3463,sadness,"It was a complex situation concerning a relationship with a  
boyfriend, I had broken the relationship for some reasons.  
Meanwhile, as I felt it, I had most sorrow."
3464,shame,"I saw a terrible accident happen and I laughed a lot of the  
fright and because I was nervous."
3465,guilt,"My mother wants to talk very often about her life. I dislike this  
because she always talks negatively about the same people  
whatever I do it doesn't help."
3466,joy,"At the moment when I heard the result of an examination and it  
proved that I succeeded the second year of my study."
3467,fear,"I have a fobic anxiety for elevators. This anxiety is worst at  
the moment when the doors have to open. I have it often in the  
elevator at our university."
3468,anger,"When someone accuses me without reason and is not willing to  
listen to me."
3469,sadness,My boyfriend decided to make an end to our relationship.
3470,disgust,"A person I know who tells lies and so pretending to be better  
than she is."
3471,shame,"When I am in an auditorium with people and I ask a silly question  
so that everyone starts to laugh."
3472,guilt,"I moved to Nijmegen for my study. Soon after this my mother had  
to be admitted in hospital because of cardiac compliants. I knew  
that my moving was an important reason for this."
3473,joy,"I can't give one description here. I often feel joyful when I  
have done things good in relation to other people especially when  
my friend says he loves me and I also tell him that I love him."
3474,fear,"I was afraid when my first boyfriend threatened to make an end to  
our relationship because he didn't love me enough while I loved  
him very much."
3475,anger,"A good friend deceived me. Because of that little quarrel our  
relationship finished, mainly because she was not honest. I was  
very angry about that."
3476,sadness,I was very sad when my first boyfriend finished our relationship.
3477,disgust,"I was once raped (one year ago) by a man who was a lot older than  
me and whom I just met. Maybe it wasn't rape but the man wanted  
more than I wanted to give him since there were other people in  
vicinity."
3478,shame,"I felt shame when I didn't study enough for my exams and as a  
result I failed. I then invented idle stories to talk it good for  
myself and the others."
3479,guilt,"I felt guilty when I once went out with another boy and made love  
with him while I had a close boyfriend."
3480,joy,When my boyfriend came back after being away for 10 days.
3481,fear,When I was sitting in a car next to a man who was masturbating.
3482,anger,"When my mother told things to my sister, which I told my mother  
in confindence."
3483,sadness,"Tonight in bed when I realised how bad my relationship with my  
friend was."
3484,disgust,"When I was in Eindhoven on an Exhibition of Hernan Nitsche, who  
made paintings with real blood. There were also photographs about  
the killing of cows."
3485,shame,When I made an end on a relationship after three years.
3486,guilt,"That I didn't want my friend to leave on holiday for 10 days  
because I thought I would miss him. I was constantly trying to  
persuade him."
3487,joy,"When I was making music together with my friend. It sounded very  
good and we were very satisfied."
3488,fear,"When my cat ran under a car and came home wounded. He could  
hardly walk. I didn't dare to go to a veterinarian because I was  
afraid he would kill him."
3489,anger,"I had to unscrew something on my car. I didn't succeed after two  
afternoons of trying. A feeling of anger built up itself."
3490,sadness,"Losing my girlfriend who made an end to our relationship. By this  
I lost an important source of support, certainty and joyful  
moments. I cried very intensly when that happened."
3491,disgust,"A few days ago I saw two dandy girls of my age. I disliked their  
clothes and their way of doing."
3492,shame,"During carnaval I danced for a few minutes normally I don't dance  
because I am rigid in my moving around during a dance, I stopped  
very soon."
3493,guilt,"I had a girlfriend which I used to call regularly. Then I didn't  
phone her for a while. At a certain moment I felt a little  
tension which became worse."
3494,joy,"At an important moment in a volleyball game we made a point and  
by this we won a set from a much stronger competitor."
3495,fear,"When I went out with my dog in a forest late at night when we  
were on a camping."
3496,anger,"I had an appointment with someone at a certain time. The other  
person didn't appear."
3497,fear,"When I entered the operation theatre and underwent a difficult  
operation."
3498,anger,"When my friends left without waiting for me, after we had arranged  
to go out together."
3499,sadness,When they gave away my dog to other people without my knowledge.
3500,disgust,"When I had to eat scraps from a dust-bin, because of a bet."
3501,shame,"At the airport, eighty beer cans that I was carrying in a  
bag spread all around while I was going through the metal  
detector."
3502,guilt,"When I took a car which was not mine, and suddenly it stopped  
working."
3503,joy,"When the Real Madrid team of basket ball qualified for the final  
of the Europe Cup at Athens."
3504,fear,On the scenic railway at the fairground.
3505,anger,"At having an argument with a stranger, in the street."
3506,disgust,When I entered a toilet in a bar and it stank.
3507,joy,The day I finished my military service.
3508,fear,"When I was a child, one day, I was going home late at night and I  
did not notice an uncovered man hole and fell in it.  I was in there for  
several minutes."
3509,anger,"One day, when I was a child, my grandmother shut me up in a room."
3510,sadness,The day I left my first girlfriend.
3511,disgust,"One day I was in the countryside with several friends, and we  
began to eat figs, after we were all full we noticed that all the  
figs were full of worms."
3512,shame,"When I got my fingers stuck in one of the side holes of the door,  
in the tube."
3513,guilt,"I ran over my dog with a bicycle when I was carrying him tied to  
the handle bar."
3514,joy,When I won the first prize in a cross country race.
3515,fear,"I found myself involved in a fight in which a person died and I  
had to intervene with some risk."
3516,anger,"An argument among friends in which my opinions on the way to  
spend spare time were disapproved."
3517,sadness,I was forced to leave an unforgettable friend.
3518,disgust,"I saw the gare of a prison.  This gare and the building were in  
deplorable condition and were full of rubbish."
3519,shame,A mishap suffered on misinterpreting a girl's proposition.
3520,guilt,"I thought that I could have avoided the above situation (the one  
in fear) if I had concentrated more on my work, which I hate."
3521,joy,"When I passed the last exam, which I had doudts about."
3522,fear,Before I had a tooth pulled out.  I was very upset and ill.
3523,anger,"When the Real Madrid football team lost against the inter in the  
U.E.F.A cup."
3524,sadness,"When my dog died.  I had reared it for nearly three years.  It  
had been ill for several days and had not eaten anything.  One  
morning I found it dead."
3525,disgust,"On a trip to Santander a child sitting beside me fell ill and  
started to vomit, seeing this made me feel very bad."
3526,shame,"I fell down in the bus when it braked suddenly and everybody  
started looking at me."
3527,guilt,"When I finished a test type of exam and did not dare to answer  
any question, I doubted whether I would pass the exam  or not."
3528,joy,"When I was back home after a long time, meeting beloved people  
and close friends."
3529,disgust,"When I heard about the treatment of a friend in jail. Really  
inhuman. I never realised that such things also happen in the  
Netherlands."
3530,shame,"I cannot remember a situation in which I felt ashamed. I was  
eating with some people and a little boy I took care of. I warned  
him often not to knock down his glass of mild. When I took  
out his chair I knocked down my own glass."
3531,guilt,"My mother always took my side. That brought about quarrels with  
my father. I knew she didn't like that and I felt very sorry for  
that."
3532,joy,"When on holiday in Greece I called my best friend, she told me  
she passed the examinations and that she had been admitted to the  
study for speech therapy."
3533,fear,"Together with a little brother I biked on a lonely road in the  
Polder. Then we were annoyed by a boy on a motorbike: he  
took over, stopped, took over, etc. Then we saw he had something  
in his hand, we turned until we came across a man, who  
accompanied us."
3534,anger,"We lived with 3 persons in the loft of a house. It often occurred  
that other persons again and again climbed the stairs with much  
noise. When I was studying I couldn't concentrate and got angry."
3535,sadness,"I partly colored my hair black. My mother didn't like it and  
reproached me to be a ""subversive element"". Later on she stated  
that this was due to my friends. As I see it, this all resulted  
from colouring my hair."
3536,disgust,"I was shopping in Utrecht with friends, we also ate some chips  
and snacks in a snackbar, then we saw a shabby fellow. He took a  
cold half eaten croquette (a snack) from a rubbish bin and eat  
it."
3537,shame,"I had subscribed for this test. We were informed by our  
secretary where the test took place. We went over there and thought  
there was a course. So we went back again I felt ashamed that the  
secretary again should see me."
3538,guilt,"I was out with a friend in a place where it was very, very busy.  
When we wanted to go I bumped a person, who dropped his glass  
beer I offered a new one but he didn't accept it."
3539,joy,"It appeared that I gave correct answers to all questions during  
an examination of personality while I thought I performed very  
badly. Even now, I don't know how I managed it."
3540,fear,"My father was very angry with me, and I locked me up in the  
shower. Then my father knocked his fist through the door, I was  
scared to death."
3541,anger,"My sister borrowed some LP records for a party. She had left them  
in the car on curatao. Due to the heat they were crooked, so I  
couldn't play them again."
3542,sadness,"When my grandmother died, her life was heavy and her last hours  
were terrible."
3543,disgust,"When I watched TV and saw a performance of ""Prince"" (a popidol).  
Disgusting he'd better be a stallion."
3544,shame,"We had arranged a beach party with 20 people. There my father got  
drunk I felt very ashamed."
3545,guilt,"When I flew out to my mother and made rude remarks because I felt  
so tense (studied too hard for an examination)."
3546,joy,"Unofficially I was informed about my results of the final  
examination of the secondary school. A teacher wrote them up for  
me. When I went outside, I started crying with joy."
3547,fear,"I am thinking about death, the eternal of it, the unknown, the  
sense of being here. Often, laying in bed in the dark and quiet,  
the fear makes me feel dizzy."
3548,anger,"If they force me to eat something I don't like. For example, my  
parents always twaddle and whine, when I don't eat all the food."
3549,sadness,"I had to leave Den Helder and all friends and acquaintences,  
after having spend two weeks there with my friends."
3550,disgust,"Being on view in a meat-factory. Pigs being cut open, pigs being  
suspended from nods, blood everywhere, decompsition."
3551,shame,"When I have suffered a terrible fit of eating, that frequently  
occurs. Then I eat everything, I act like a glutton I eat big  
amounts of food, sometimes even half a loaf."
3552,guilt,"When my father (physically handicapped) asks me to do something  
and I raise several objections. Often I can fix it in few  
moments."
3553,joy,"When the parents of my girlfriend gave permission to spend our  
holiday together."
3554,fear,"When the relationship with my first girlfriend broke up and I  
realized it too late."
3555,anger,"Someone who always took care for the key of the sportshall stayed  
away without letting us know. Next time he did as if nothing had  
happened."
3556,sadness,When my last relation broke up.
3557,disgust,"When working in a chemical laundry, I saw rats and maggots in the  
washing."
3558,shame,"When I forgot the birthday of my best friend and I innocently  
came to visit her one week later."
3559,guilt,"When I made love with a girl, which I don't really love. However  
I know that she loves me."
3560,joy,When I passed the driving test (on the second try).
3561,fear,"I was walking in the wood at night with my boyfriend. Very  
romantic. Suddenly I heard a car driving very slowly with the  
lights out, it looked as if they were looking for something."
3562,anger,"I am a teacher in arts and crafts (boys from 15-16 years). for  
them it is obligatory and they dislike it. They tease me. When one of  
them cut up some material I flared up."
3563,sadness,"My sister was in coma for 3 months (due to a train accident). Now  
her brainfunctions are disturbed. She will never be able to walk  
and she can hardly talk."
3564,disgust,"I lived together with my boyfriend. One night he stayed away and  
next day he told me that he had chat up with another girl."
3565,shame,"I talk too much, cannot keep things secret. I promised a friend  
not to tell something to anybody. Neverthless, I did, and she got  
informed about it. I felt very ashamed."
3566,guilt,"My parents appreciate very much me and my boyfriend coming and  
have dinner with them at Christmas. However we decided to visit  
his parents. My mother was rather disappointed."
3567,joy,"When I started a relation with a girl, with whom I have fallen in  
love already some time ago."
3568,fear,"Once sitting in the cinema, I became very anxious (watching a  
""cold"" film). I do not know the reason."
3569,anger,"I work for a journal. Once the lay-out came to nothing, due to  
thoughtlessness of some colleagues."
3570,sadness,"My mother was stuck by an apoplectic fit, was hemi-paralyzed and  
suffered an aphasia."
3571,disgust,"Each time I am confronted with reports about repression and  
torture."
3572,shame,"I wrote a letter to my father to ventilate my bottled up  
feelings. Afterwards I thought it was too negative."
3573,guilt,"I chatted up with a girl who I didn't love. She however was  
fallen in love with me. I felt responsible for her sorrow."
3574,joy,"I felt very happy when I heard I had passed the examination to  
move up to the second year course."
3575,fear,"On a holiday in France I made a walk in the woods all alone and  
very relaxed. Then a motorbike took me over and I saw the man  
watching all the time. Suddenly the man stood behing me and I ran  
away fast."
3576,anger,"I invited two friends. We should go out together. Those two girls  
kept talking about boys, chatting up etc. I bacame sick of it."
3577,sadness,"I felt very sad when my boyfriend wanted to break our  
relationship. Our relationship lasted two years, we shared  
everything and all this was finished."
3578,disgust,"I broke an egg, with which there was something wrong, into a  
little cup. There was a thick white ""wad"" in it. I tried to take  
it out and throw it in the sink."
3579,shame,"When I was 10 years old I stained our bench with a fountain-pen,  
I tried to twin the cushions, but then there were colour nuances.  
Then my mother catched me, she saw it and became very angry."
3580,guilt,"I spend the night with my boyfriend, while there was also a  
friend of his. We all lay on the floor to sleep. When my  
boyfriend was fallen asleep the other boy and I started petting.  
After 15 minutes I felt miserable and awoke my boyfriend to tell  
him that."
3581,joy,"I liked to see off my aunt (from Zaire) to the airport. That  
appeared to be impossible because I had to go to school. For long  
time I wasn't sure if I could accompany her. Two days before the  
departure they told me I was allowed to miss school."
3582,fear,"I went to the ballet lessons with a little friend in the dark. On  
a very quiet place a boy approached us from behind and asked at  
what time the lesson would be finished. I gave him an avoiding  
answer, he took me up and wanted to run away with me."
3583,anger,"I was sleeping nicely until in the middle of the night when I became  
awake because a friend called me for some (in my opinion)  
nonsens reason."
3584,sadness,"My boyfriend with whom I had a longlasting relationship, fell in  
love with another girl, then he asked me something which implied  
that he loved that girl more than he loved me."
3585,disgust,"On school, during a fancy fair, there was a stand of amnesty  
international. There I read (for the first time) a description of  
the tortures of a woman, what they did to her."
3586,shame,"A friend catched me while masturbating. I am not fully sure  
whether she saw it or not."
3587,guilt,"When I was 4-5 years old my mother gave me some parts of a  
chocolate bar and ordered me to bring it to my father working  
outside. On my way I could not resist the temptation and ate it  
myself."
3588,joy,"When I had to undergo the final examination of secondary school,  
I lived together with a girlfriend. We both were afraid to fail,  
but it appeard that we both had passed."
3589,fear,"When I had left my home, my father, under false pretences, got me  
in his car and drove home where we were all alone. He was seethed  
with rage because I withrew from his authority. He hit me, kicked  
me and threatened me."
3590,anger,"When my father took away my cherised diaries to burn them (I was  
also very sad) ""Oh, how I hated him""."
3591,sadness,"I felt very sad when I left home because I could not stand it any  
longer. I do not regret it, but I missed my little sister very  
much (and she missed me). These feelings wear off over time."
3592,disgust,"A friend and a girlfriend went to Rome for 10 days with their  
class. When they were back home I heard people tell ""strange""  
stories about my friend and that girlfriend."
3593,shame,"When my mother found a leaf of my diary where I had written about  
my mother's lack of education, especially her poor arithmetical  
insight."
3594,guilt,"Very often I take care for my little sister and oversee her  
duties. Most of the time everything went fine, but sometimes she  
absolutely didn't want to obey; then I hit her (we frequently  
were hit by our father)."
3595,joy,Passing my driver's examination (after two failures).
3596,fear,"When I was six years old we were on holiday in France. There was  
very heavy weather then."
3597,anger,"A quarrel with my mother because I thought she said very  
unreasonable things about me, that hit me strongly."
3598,sadness,"The disease and subsequent death of a close acquaintance. Sadness  
was accompanied with feelings of powerlessness (I also  
experienced sadness in the situation described under guilt)."
3599,disgust,"When I take a look into a slaughter-house and when listening to  
stories about torturing people or animals."
3600,shame,"Making bloopers: e.g. telling something negative about a certain  
person, while that person is standing besides you and hears  
everything."
3601,guilt,"I wanted to finish a relationship after 3 months. Unfortunately  
my friend had a different opinion. I could not answer his  
feelings this made him unhappy, and me feel guilty."
3602,joy,"When a friend of mine had her period, while thinking she was  
pregnant."
3603,fear,Fear to come and live in Nijmegen.
3604,anger,When the coach of our team degraded me to the second team.
3605,sadness,When a friend died.
3606,disgust,"When I saw a documentary film about World War II (about Hitler  
and his adepts)."
3607,shame,"When I embarrassed a friend by asking him aloud if a certain  
person was ""the source of gossip"" he told me about, while that  
person was also present."
3608,guilt,"When I realised that I had rejected a boy, who was fallen in love  
with me, rather bluntly four times."
3609,joy,"Spending the nitht with close friends, after being away (out of  
Nijmegen) for a while."
3610,fear,"Just before I started my study I had to move, I was very afraid  
to be left alone and that I could not manage it."
3611,anger,"When anybody wants to make me feel guilty. For example: I should  
do something for my mother, but things didn't go as she hoped.  
Then she threatens: I'll do it myself."
3612,sadness,"When a close friend took leave of me, because she went to Israel  
for one year."
3613,disgust,"I wanted to take something from under my bed. While doing this I  
felt a dead bird laying under my bed."
3614,shame,"I stayed at home for a period because I felt depressive and I  
neglected my study when people adked me, I told them that I had  
freeterm and studied hard. I felt ashamed for my behavior and  
lies."
3615,guilt,"After a quarrel with my mother in which matters were ""inflated""  
enormously."
3616,joy,"A fellow player, quite unexpectedly, scores a goal, which means a  
draw."
3617,fear,"In college, I started a discussion with the teacher referring to  
a question I posed. I felt very unsure and I was afraid to fail."
3618,anger,"While playing indoor-hockey, there always is an older man who  
frequently and intentionally plays the ball out of the field. In  
my opinion this is very childish, because we play for fun only."
3619,sadness,"I was together with my family one night, a few days after my  
father had died, during that conversation I expressed my  
displeasure because nobody understands me."
3620,disgust,"Salo, a movie film by Pasolini. People were misused and tortured  
for the fun of a few elder Italian authorities, during World War  
II."
3621,shame,"I was jerking me off in my bedroom, when suddenly, my mother came  
in. She looked at me and immediately left the room."
3622,guilt,"My girlfriend and I agreed to go to the cinema. However I  
completely forgot our appointment. I remembered it two hours  
too late when I went to visit her."
3623,joy,"When my boyfriend once again told me that he loved me after a  
period in which he felt very depressive."
3624,fear,"I was walking alone in the street late at night (2.30 am). It was  
very quiet. Then a man approached me and said ""Hello""."
3625,anger,"When, late at night, I discovered that they had stolen my bike."
3626,sadness,"When a friend, after being free of drugs for half a year, started  
using them again. 
"
3627,disgust,"In a disco, there was a dirty little chap who punched my bottom."
3628,anger,"When a friend who comes visiting me unexpectedly asks for coffee  
and I refuse to give him this."
3629,sadness,"Watching a football game. This remindes me of the time when my  
father was still alive and when we watched football games on TV  
together."
3630,disgust,Seeing someone who has bleeding nose.
3631,shame,"Asking someone to give me back the money I once lend him because  
I needed it myself."
3632,guilt,"When I tell someone no. In other words when I refuse to do  
something although I could have helped him."
3633,joy,When I got a good grade for an exam in statistics.
3634,fear,"One night at three o'clock I was followed by a cardriver, who  
tried to molest me."
3635,anger,"My father promised me a bicycle for my birthday. Just before my  
birthday he forgot he promised this to me."
3636,sadness,A younger brother of a good friend of mine died (asthma).
3637,disgust,"I read a book about torture. The book described exactly how the  
torturing was done."
3638,shame,"I made a joke about the rat of a boy. I compared his rat with a  
sausage. I told the boy he had a delicious sausage."
3639,guilt,"After a courtship of three months I made an end to it. The boy  
was very sad about this."
3640,joy,I had a very pleasant conversation with one of my friends.
3641,fear,"I had a dream about my fiancTe leaving me and making an end to  
our relation."
3642,anger,My bicycle was demolished.
3643,sadness,"During the funeral of my grandmother, when I saw my mother and  
other family members crying."
3644,disgust,"A fellow student who seemed very nice later on proved to be a  
slimy fellow towards a professor."
3645,shame,"My father was very angry with another man in the presence of my  
friends."
3646,guilt,"I once drank too much alcohol and became very ill. This was in the  
presence of my friends."
3647,joy,"This week I was phoned by an old friend with whom I lost contact  
a few years ago."
3648,fear,I was raped by a friend.
3649,anger,"Last year I had a friend visiting me for several days. The only  
thing he did was sleeping, drinking, taking pills and thinking  
only about himself."
3650,anger,"My girlfriend does practice and therefore leaves me alone at  
night and in the weekend. In addition, she is very busy doing  
several things. So we don't see each other often."
3651,sadness,"My father suddenly fell ill. He stayed for 3 months in the  
hospital: the last month on intensive care of the Academic  
Hospital, then he died."
3652,disgust,"Bisshop Ter Schure intoduced himself on TV to the Dutch Nation.  
He spoke as if he was God himself, and didn't discuss the way he  
had achieved this position."
3653,shame,After having failed my driving test.
3654,guilt,"When I see that my mother forces my little brother (15 years) to  
work very hard for school. I don't agree that she constantly puts  
him to work, but I don't tell it to her, so nothing changes."
3655,joy,"I thought that someone was angry with me but, by hindsight, that  
didn't appear to be the case, he even liked me."
3656,fear,"Once, late at night, I was biking home and overtook a man. He  
said to me ""Hello darling"" I was terrified and imagined the  
wildest scenes."
3657,anger,"My parents thought that I didn't do my best to pass the final  
examination (secondary school). When I achieved a good grade they  
said nothing, but if I had had a bad grade they would have become  
very angry."
3658,sadness,"When I caused much pain and sorrow to my boyfriend by finishing  
our relationship."
3659,disgust,"When I read about or think about environmental pollution, the  
armor race, starvation, etc. Then one realizes that mankind is  
bad, most important is power and money, at the cost of nature and  
mankind."
3660,shame,When I imitated a teacher behind his back - walking very silly.
3661,guilt,"I told someone that I still had a relationship with a boy  
although it was finished already 3 months before. That person  
seriously discussed several things relating that issue. Then I  
felt very miserable because I had told lies."
3662,joy,"A meeting and a conversation with a woman (somewhat elder than  
me) who considers me as her child (she also has one child of her  
own). Last two years I lived with her (no relationship)."
3663,fear,"As a child I suffered of nightmares. Even since than, I have  
never been so anxious and fearful."
3664,anger,"When talking with my sister, she often ventilates prejudices,  
which my father also adheres."
3665,sadness,"I was in a hopeless situation in a dirty place. No study, no  
work, only loneliness."
3666,disgust,"It is very difficult to relate it to a certain event. I am  
familiar with the disgust of Sartre (la nausTe), a frequently  
occurring cause may be described as ""the self-assured dullness""."
3667,shame,"Recently, I left my bag in the car of someone who picked me up  
while hitch-hiking. I spent some effort to find out where he  
lived (I succeeded)."
3668,guilt,"In Biarritz (the South of France) I met some English students  
who, especially for me, went to Paris and gave me food, while I  
didn't have any more money."
3669,joy,"When I passed the driving test already on the first try, although  
I felt more and more uncertain as the day came near."
3670,fear,"When my father suffered with dizziness. He had to be  
hospitalized, because the physician didn't know what was wrong.  
Because his stools were black, I thought it could be cancer."
3671,anger,"When I arranged our holiday in Paris, and my girlfriend raised  
criticisms all the time."
3672,sadness,"When it suddenly appeared that our dog was dangerously ill and  
probably would die. We had not expected this because he  
was always very healthy. Fortunately he survived because we, in turn,  
gave him medicines during the night."
3673,disgust,"When a girl in my class (on the secondary school) appeased the  
teacher, resulting in getting a higher grade. This occurred often  
with her."
3674,shame,"When I arrived too late at a meeting of mentor (the night before  
the introduction of novices on the University start)."
3675,guilt,"When my father told me that I should help my mother more often,  
because she was so busy. And I realized that he was right."
3676,joy,"Passing an examination, although I felt sure I had failed."
3677,fear,"I lived in a student-house, where you shared the lavatory and  
shower with a fellow student. the shower cubicle formed the  
connection between both appartments. My neighbour very often was  
drunk and aggressive. One night, I was afraid that he would enter  
my room."
3678,anger,"I suffer from a disease of my muscles. Therefore, I am only able  
to attend lectures for half a day. So, sometimes I miss  
obligatory lectures. However, the teachers do not take into  
account my disease, and punish me with detention work, resulting in  
an overload."
3679,sadness,"I suffer form a disease of my muscles. However, I cannot talk  
about it and my feelings, the consequence with my parents. They  
try to repress it."
3680,disgust,"Grandfather lives in a home for the elderly. He always looks  
forward to visits. On his birthday (by coincidence it was on  
""Mummy's day"") however, nobody went to see him. Is the own family  
more important than grandfather ?"
3681,shame,"Going out for dinner, or during one ice-cream and four spoons."
3682,guilt,"I borrowed a piece of music of someone and I always forgot to  
give it back. That person wrote me a letter asking me to give it  
back. I did so and I told him an idle story why I kept it for so  
long."
3683,fear,When armed robbers broke into our house at night.
3684,anger,"When a pick-pocket robbed me of my money (K20) while I  was  
buying bathing soap."
3685,sadness,When I failed the grade seven examination.
3686,disgust,"When my friend who was drunk insulted me in public for no reason at  
all."
